mot,term_frequency,document_frequency
the,85,8
of,46,6
a,37,6
to,34,8
and,25,7
in,20,6
football,20,5
we,16,4
for,15,5
with,14,5
is,13,7
that,11,7
transfer,11,3
this,10,5
you,10,1
on,9,4
or,9,5
draw,7,1
as,6,4
injury,6,2
it,6,1
your,6,3
team,6,2
training,5,1
be,5,4
injuries,5,1
are,4,2
has,4,4
i,4,1
using,4,1
an,4,3
tool,4,2
resistance,4,1
can,4,1
not,4,4
also,4,3
air,4,1
out,4,3
between,4,4
mouthguards,4,1
network,4,2
most,4,3
used,4,2
results,4,4
mre,4,1
predicting,3,1
groups,3,1
was,3,1
into,3,2
conducted,3,1
sessions,3,1
gps,3,1
group,3,1
new,3,2
footballer,3,1
european,3,2
during,3,1
week,3,3
any,3,3
thoughts,3,3
whether,3,3
velocity,3,2
where,3,2
data,3,2
common,3,2
discussion,3,3
match,3,3
order,3,2
their,3,2
brain,3,1
find,3,3
place,3,3
here,3,3
link,3,2
impact,3,1
understanding,3,2
instrumented,3,1
v,3,1
recordings,3,1
were,3,1
from,3,3
theory,3,1
if,3,1
which,3,3
incidence,3,2
uefa,3,1
professional,3,1
news,2,2
interesting,2,2
predictions,2,2
like,2,1
many,2,1
however,2,2
very,2,2
learning,2,1
injured,2,1
predict,2,1
hours,2,1
players,2,1
overtraining,2,1
fatigue,2,1
nodes,2,1
ftn,2,1
clubs,2,1
might,2,1
analysis,2,1
manual,2,1
paper,2,2
balls,2,1
free,2,2
share,2,2
thread,2,2
feel,2,2
characteristics,2,1
node,2,1
welcome,2,2
youre,2,2
eye,2,2
caught,2,2
predictive,2,1
investigate,2,2
random,2,2
just,2,1
investigation,2,2
different,2,2
spherical,2,1
part,2,2
all,2,2
would,2,2
possible,2,2
pentagons,2,1
hexagons,2,1
higher,2,2
check,2,1
american,2,1
while,2,2
how,2,2
much,2,1
id,2,1
uses,2,2
algorithm,2,1
works,2,1
flight,2,1
speeds,2,1
feature,2,1
exposure,2,1
selection,2,1
three,2,1
records,2,2
machine,2,1
thfc,2,1
teams,2,1
pot,2,1
model,2,2
branched,2,1
by,2,2
based,2,2
research,2,2
but,2,2
cases,2,1
edge,2,1
tested,2,2
have,2,2
use,2,2
found,2,1
getting,2,2
nations,2,1
without,2,2
strain,2,1
angular,2,1
peak,2,1
measurements,2,2
accurate,2,2
standard,2,2
made,2,2
various,2,1
more,2,2
studies,2,2
accuracy,2,1
further,2,2
impacts,2,1
weekly,2,2
chat,2,2
about,2,2
latest,2,2
rumors,2,2
anything,2,2
footballrelated,2,2
weights,2,1
activities,1,1
powerlaw,1,1
distribution,1,1
decay,1,1
exponential,1,1
law,1,1
power,1,1
distributions,1,1
bimodal,1,1
enjoy,1,1
simulating,1,1
world,1,1
cup,1,1
format,1,1
among,1,1
countries,1,1
regions,1,1
construct,1,1
directed,1,1
links,1,1
correspond,1,1
transfers,1,1
systemic,1,1
conduced,1,1
coming,1,1
looking,1,1
people,1,1
try,1,1
interested,1,1
want,1,1
run,1,1
clean,1,1
simulation,1,1
love,1,1
hear,1,1
logic,1,1
missed,1,1
ensures,1,1
repo,1,1
httpsgithubcomholasoyedgarworldcupdrawassistanthttpsgithubcomholasoyedgarworldcupdrawassistant,1,1
because,1,1
conflicting,1,1
recent,1,1
present,1,1
study,1,1
way,1,1
measuring,1,1
head,1,1
kinematics,1,1
assisting,1,1
underlying,1,1
biomechanics,1,1
concussions,1,1
led,1,1
companies,1,1
institutions,1,1
develop,1,1
always,1,1
valid,1,1
slot,1,1
waiting,1,1
them,1,1
need,1,1
feedback,1,1
i’ve,1,1
extreme,1,1
protects,1,1
concussive,1,1
makes,1,1
quantification,1,1
critical,1,1
especially,1,1
given,1,1
filled,1,1
smart,1,1
capacity,1,1
checking,1,1
goes,1,1
impactor,1,1
deliver,1,1
characteristic,1,1
hybrid,1,1
iii,1,1
headform,1,1
validate,1,1
compare,1,1
five,1,1
commonly,1,1
asianafrican,1,1
gave,1,1
acceleration,1,1
mean,1,1
relative,1,1
error,1,1
criteria,1,1
values,1,1
deformation,1,1
pneumatic,1,1
host,1,1
mexico,1,1
canada,1,1
usa,1,1
specific,1,1
slots,1,1
prevents,1,1
soccer,1,1
ball,1,1
cover,1,1
only,1,1
vertices,1,1
described,1,1
maximum,1,1
principal,1,1
fiber,1,1
calculated,1,1
convolutional,1,1
neural,1,1
finally,1,1
measurement,1,1
varies,1,1
locations,1,1
enforcing,1,1
fifa,1,1
rules,1,1
stops,1,1
move,1,1
break,1,1
later,1,1
features,1,1
handles,1,1
architecture,1,1
al,1,1
eg,1,1
sensitive,1,1
prove,1,1
every,1,1
known,1,1
lgons,1,1
examine,1,1
detailed,1,1
up,1,1
give,1,1
examples,1,1
showing,1,1
corresponding,1,1
result,1,1
true,1,1
footballs,1,1
genera,1,1
moreover,1,1
classify,1,1
pairs,1,1
yet,1,1
lookahead,1,1
thousands,1,1
future,1,1
possibilities,1,1
tells,1,1
exactly,1,1
act,1,1
patterns,1,1
sphere,1,1
exist,1,1
satisfying,1,1
natural,1,1
generalisation,1,1
usual,1,1
relation,1,1
kgons,1,1
sectional,1,1
area,1,1
spin,1,1
included,1,1
gyroscope,1,1
rocket,1,1
trajectory,1,1
misaligned,1,1
thruster,1,1
unfortunately,1,1
rocketry,1,1
ballistics,1,1
kl,1,1
bowlpot,1,1
type,1,1
backtracking,1,1
previous,1,1
errors,1,1
moments,1,1
inertia,1,1
mach,1,1
increases,1,1
dramatically,1,1
shall,1,1
approximate,1,1
realistic,1,1
at,1,1
slower,1,1
drag,1,1
force,1,1
proportional,1,1
cross,1,1
simulations,1,1
it’s,1,1
generator,1,1
alongside,1,1
physically,1,1
deadlock,1,1
depending,1,1
